videocard_name,amazon_link
GeForce RTX 4090,https://amzn.to/4h1w4zh
GeForce RTX 4080,https://amzn.to/3NoA8Mj
GeForce RTX 4070 Ti,https://amzn.to/3NpTAs7
GeForce RTX 4070,https://amzn.to/3NueSEQ
GeForce RTX 4060 Ti,https://amzn.to/3U82Ipd
GeForce RTX 4060,https://amzn.to/3zNo989
GeForce GTX 1660 Ti,https://amzn.to/4ezq6E9
GeForce GTX 1660 SUPER,https://amzn.to/3NrThNw
GeForce GTX 1650,https://amzn.to/4eJbrWT
GeForce RTX 3090,https://amzn.to/4035AqY
GeForce RTX 3080 Ti,https://amzn.to/4ezqlz3
GeForce RTX 3070 Ti,https://amzn.to/3zZ69aH
GeForce RTX 3070,https://amzn.to/3NpYpld
GeForce RTX 3060 Ti,https://amzn.to/3BGRMs1
GeForce RTX 3060 12GB,https://amzn.to/4dMm3D2
GeForce RTX 3050 8GB,https://amzn.to/3BG0yH0
Radeon RX 7900 XTX,https://amzn.to/4dKwxmI
Radeon RX 7900 XT,https://amzn.to/3UwS23J
Radeon RX 7800 XT,https://amzn.to/4eJMSJq
Radeon RX 7700 XT,https://amzn.to/3YpjlyU
Radeon RX 7600 XT,https://amzn.to/3Yo98TG
Radeon RX 6800 XT,https://amzn.to/3Y6bB3N
Radeon RX 6800,https://amzn.to/3U4Nb9B
Radeon RX 6750 XT,https://amzn.to/3Y843NW
Radeon RX 6700 XT,https://amzn.to/4eIAkSP
Radeon RX 6600 XT,https://amzn.to/40151On
Radeon RX 6600,https://amzn.to/3Nrp3uc
Radeon RX 6500 XT,https://amzn.to/4gXPuoC
Radeon RX 6400,https://amzn.to/4dNCJKL
Radeon RX 580,https://amzn.to/3Yn9qtJ
GeForce RTX 2060 SUPER,https://amzn.to/3YmCqBQ
GeForce GTX 1080 Ti,https://amzn.to/3UcCCRN